"Tabla","Filas","Columnas","ClavePrimaria"
"ProveedoresAutorizaAutorizadores","0","2","Proveedor|gaNotUsuarioAut"
"VPryDtosCLAs","0","5","TipoDoc|nDoc|Articulo|Acabado"
"ProveedoresDelegaciones","0","3","nLinea"
"ProveedoresCuentaPagos","0","6","Proveedor|Serie|Delegacion|TipoDocumento"
"PeriodosFiscales","0","5","Codigo"
"ObservacionesProdLinArt","0","10","nLinea"
"VRepVehiculos","0","9","Matricula"
"VRepVehiculoKm","0","4","Matricula|Fecha"
"VRepTiposGastos","0","2","Codigo"
"VRepTiposIncidencias","0","12","Codigo"
"ObservacionesProdDoc","0","6","nLinea"
"VServFases","0","3","TipoDoc|nDoc|FaseEntrega"
"ObGastos","0","14","Numero"
"Obras","0","7","Codigo"
"ObservacionesDocumentos","0","12","nLinea"
"ObrasOrigen","0","4","codObra|NumeroDoc|RevisDoc"
"VReparto","0","34","Numero"
"VRepartoGastos","0","7","IdGasto"
"VRemesas","0","17","Numero"
"PeriodosCalculoCM","0","5","Codigo"
"PartidasArancelarias","0","2","Codigo"
"VRepartoIncidencias","0","9","IdIncidencia"
"VRepRutas","0","10","Codigo"
"VRepRutasZonas","0","2","CodRuta|CodZona"
"VRepartoLinDet","0","10","nLinea"
"VRepartoLin","0","6","nLinea"
"ObservacionesProdLinEstr","0","9","nLinea"
"UtillajeArticulos","0","3","Utillaje|Articulo"
"Utillaje","0","17","Codigo"
"UtillajeInstrucciones","0","5","nLinea"
"UtillajeReparaciones","0","7","nLinea"
"UtillajeMovimientos","0","9","nLinea"
"UTallProcesoRegistro","0","24","nLinea"
"UTallLotesCorteLinDetVLin","0","3","NumeroLote|idPed|nVLinea"
"UTallLotesCorteLin","0","7","nLinea"
"UTallProceso","0","34","nLin"
"UTallProcesoDet","0","23","nLin"
"UTallProcesoCantidadArt","0","10","nLinea"
"UTTtmpRelojObra","0","6",""
"VCTEvaloresLimiteYmedios","0","11","TipoDoc|nDoc|Orientacion|CargaInt"
"VAcabadosCat","0","6","TipoDoc|nDoc|nLinEstr|CategoriaAca"
"VCPFtipos","0","4","Codigo"
"VCTEOrientaciones","0","5","TipoDoc|nDoc|Orientacion"
"UTTretribuciones","0","25","Codigo"
"UTTreloj","0","36","nLin"
"UtillajeRevisiones","0","6","nLinea"
"VDatosLinMecanizados","0","6","nLinId"
"UTTrelojResumenDia","0","13","Trabajador|Fecha"
"VDatosLinAuxiliares","0","8","nLinId"
"UTallLotesCorte","0","9","Numero"
